BeaverTripleService beaver_triple_service
Compute1 compute1
Compute2 compute2
Compute3 compute3
Manage2 manage2
Manage3 manage3
Manage1 manage1
Jwt jwt
ComputationContainer computation_container
ManageContainer manage_container
Config config
ConfigParse config_parse
Jobs jobs
Job job
ComputationBenchmark computation_benchmark
Benchmark benchmark
ComputationTest computation_test
IntegrationTest integration_test
UnitTest unit_test
Test test
Scripts scripts
Random random
LibClient lib_client
TransactionQueue transaction_queue
TripleHandler triple_handler
ThirdParty third_party
ComputationParty computation_party
ComputationToComputationContainer computation_to_computation_container
ManageToComputationContainer manage_to_computation_container
ComputationToComputationContainerForJob computation_to_computation_container_for_job
Helper helper
Server server
Math math
ObjectiveFunction objective_function
FixedPoint fixed_point
Optimizer optimizer
Logging logging
Computation computation
Share share
ComputationToComputationContainer computation_to_computation_container
ComputationToBts computation_to_bts
ComputationToComputationContainerForJob computation_to_computation_container_for_job
ComputationToDb computation_to_db
Client client
ComputationContainer computation_container
Db db
Log log
ManageToManageContainer manage_to_manage_container
LibcToManageContainer libc_to_manage_container
Server server
3ptTest test
Utils utils
DataStore data_store
ManageToComputationContainer manage_to_computation_container
ManageToTokenCa manage_to_token_ca
ManageToDb manage_to_db
Images images
Docs docs
EngineToBts engine_to_bts
Demo demo
Data data

Server2 server2
Server1 server1
Server3 server3
Pipfile pipfile
MatrixTest matrix_test
ValueTableTest value_table_test
ReadTripleFromBtsTest read_triple_from_bts_test
ShareCompTest share_comp_test
MeshCodeTest mesh_code_test
MathTest math_test
ComputationTest computation_test
ShareTest share_test
ComputationBenchmark computation_benchmark
Benchmark benchmark
ShareBenchmark share_benchmark
LogTest log_test
CtoDBTest ctodb_test
CsprngTest csprng_test
TransactionQueueTest transaction_queue_test
FixedPointTest fixed_point_test
RandomTest random_test
CtoC_test ctoc_test
Math math
LogHeader log_header
Logger logger
Helper helper
Client client
ValueTable value_table
Computation computation
Random random
Csprng csprng
TripleHandler triple_handler
TransactionQueue transaction_queue
AddressId address_id
Matrix matrix
Share share
Compare compare
Networking networking
Adam adam
OptInterface opt_interface
GradientDescent gradient_descent
SGD sgd
Momentum momentum
ConfigParse config_parse
ObjectiveFunctionInterface objective_function_interface
CrossEntropyError cross_entropy_error
JobSelector job_selector
JobManager job_manager
ProgressManager progress_manager
CorrelJob correl_job
JoinTableJob join_table_job
MathJob math_job
MeshCodeJob mesh_code_job
JobParameter job_parameter
JobStatus job_status
JobBase job_base
ComputationParty computation_party
MathLib math_lib
FixedPoint fixed_point
Client_test client_test
JsonStrConverter json_str_converter
EscapeInjection escape_injection
JsonStrConverter_test json_str_converter_test
Csprng_test csprng_test
Jobid jobid
GetConfig get_config
BufferConnet buffer_connet
ConvertGrpcReq convert_grpc_req
Encoder encoder
ApplicationLog_test application_log_test
ApplicationLog application_log
M2MClient_test m2m_client_test
M2MServer_test m2m_server_test
DataStore data_store
L2m_test l2m_test
L2m l2m
Cond_count cond_count
Cond_count_test cond_count_test
M2m_test m2m_test
M2m m2m
Config config
Proto_extra_deps proto_extra_deps
Proto_deps proto_deps
